Rank,Region,Country,Latitude,Longitude,Score,Economy GDP,Social Support,Life Expectancy,Freedom,Generosity,Trust In Government
1,Europe,Finland,61.92411,25.748151,7.769,1.34,1.587,0.986,0.596,0.153,0.393
2,Europe,Denmark,56.26392,9.501785,7.6,1.383,1.573,0.996,0.592,0.252,0.41
3,Europe,Norway,60.472024,8.468946,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,Europe,Iceland,64.963051,-19.020835,7.494,1.38,1.624,1.026,0.591,0.354,0.118
5,Europe,Netherlands,52.132633,5.291266,7.488,1.396,1.522,0.999,0.557,0.322,0.298
6,Europe,Switzerland,46.818188,8.227512,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,Europe,Sweden,60.128161,18.643501,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,Asia & Pacific,New Zealand,-40.900557,174.885971,7.307,1.303,1.557,1.026,0.585,0.33,0.38
9,North America,Canada,56.130366,-106.346771,7.278,1.365,1.505,1.039,0.584,0.285,0.308
10,Europe,Austria,47.516231,14.550072,7.246,1.376,1.475,1.016,0.532,0.244,0.226
11,Asia & Pacific,Australia,-25.274398,133.775136,7.228,1.372,1.548,1.036,0.557,0.332,0.29
12,South/Latin America,Costa Rica,9.748917,-83.753428,7.167,1.034,1.441,0.963,0.558,0.144,0.093
13,Europe,Israel,31.046051,34.851612,7.139,1.276,1.455,1.029,0.371,0.261,0.082
14,Europe,Luxembourg,49.815273,6.129583,7.09,1.609,1.479,1.012,0.526,0.194,0.316
15,Europe,United Kingdom,55.378051,-3.435973,7.054,1.333,1.538,0.996,0.45,0.348,0.278
16,Europe,Ireland,53.41291,-8.24389,7.021,1.499,1.553,0.999,0.516,0.298,0.31
17,Europe,Germany,51.165691,10.451526,6.985,1.373,1.454,0.987,0.495,0.261,0.265
18,Europe,Belgium,50.503887,4.469936,6.923,1.356,1.504,0.986,0.473,0.16,0.21
19,North America,United States of America,37.09024,-95.712891,6.892,1.433,1.457,0.874,0.454,0.28,0.128
20,Europe,Czech Republic,49.817492,15.472962,6.852,1.269,1.487,0.92,0.457,0.046,0.036
21,Middle East,United Arab Emirates,23.424076,53.847818,6.825,1.503,1.31,0.825,0.598,0.262,0.182
22,Europe,Malta,35.937496,14.375416,6.726,1.3,1.52,0.999,0.564,0.375,0.151
23,South/Latin America,Mexico,23.634501,-102.552784,6.595,1.07,1.323,0.861,0.433,0.074,0.073
24,Europe,France,46.227638,2.213749,6.592,1.324,1.472,1.045,0.436,0.111,0.183
25,Asia & Pacific,Taiwan,23.69781,120.960515,6.446,1.368,1.43,0.914,0.351,0.242,0.097
26,South/Latin America,Chile,-35.675147,-71.542969,6.444,1.159,1.369,0.92,0.357,0.187,0.056
27,South/Latin America,Guatemala,15.783471,-90.230759,6.436,0.8,1.269,0.746,0.535,0.175,0.078
28,Middle East,Saudi Arabia,23.885942,45.079162,6.375,1.403,1.357,0.795,0.439,0.08,0.132
29,Middle East,Qatar,25.354826,51.183884,6.374,1.684,1.313,0.871,0.555,0.22,0.167
30,Europe,Spain,40.463667,-3.74922,6.354,1.286,1.484,1.062,0.362,0.153,0.079
31,South/Latin America,Panama,8.537981,-80.782127,6.321,1.149,1.442,0.91,0.516,0.109,0.054
32,South/Latin America,Brazil,-14.235004,-51.92528,6.3,1.004,1.439,0.802,0.39,0.099,0.086
33,South/Latin America,Uruguay,-32.522779,-55.765835,6.293,1.124,1.465,0.891,0.523,0.127,0.15
34,Asia & Pacific,Singapore,1.352083,103.819836,6.262,1.572,1.463,1.141,0.556,0.271,0.453
35,South/Latin America,El Salvador,13.794185,-88.89653,6.253,0.794,1.242,0.789,0.43,0.093,0.074
36,Europe,Italy,41.87194,12.56738,6.223,1.294,1.488,1.039,0.231,0.158,0.03
37,Arab States,Bahrain,25.930414,50.637772,6.199,1.362,1.368,0.871,0.536,0.255,0.11
38,Europe,Slovakia,48.669026,19.699024,6.198,1.246,1.504,0.881,0.334,0.121,0.014
39,South/Latin America,Trinidad & Tobago,10.691803,-61.222503,6.192,1.231,1.477,0.713,0.489,0.185,0.016
40,Europe,Poland,51.919438,19.145136,6.182,1.206,1.438,0.884,0.483,0.117,0.05
41,Asia & Pacific,Uzbekistan,41.377491,64.585262,6.174,0.745,1.529,0.756,0.631,0.322,0.24
42,Europe,Lithuania,55.169438,23.881275,6.149,1.238,1.515,0.818,0.291,0.043,0.042
43,South/Latin America,Colombia,4.570868,-74.297333,6.125,0.985,1.41,0.841,0.47,0.099,0.034
44,Europe,Slovenia,46.151241,14.995463,6.118,1.258,1.523,0.953,0.564,0.144,0.057
45,South/Latin America,Nicaragua,12.865416,-85.207229,6.105,0.694,1.325,0.835,0.435,0.2,0.127
46,Europe,Kosovo,42.602636,20.902977,6.1,0.882,1.232,0.758,0.489,0.262,0.006
47,South/Latin America,Argentina,-38.416097,-63.616672,6.086,1.092,1.432,0.881,0.471,0.066,0.05
48,Europe,Romania,45.943161,24.96676,6.07,1.162,1.232,0.825,0.462,0.083,0.005
49,Europe,Cyprus,35.126413,33.429859,6.046,1.263,1.223,1.042,0.406,0.19,0.041
50,South/Latin America,Ecuador,-1.831239,-78.183406,6.028,0.912,1.312,0.868,0.498,0.126,0.087
51,Middle East,Kuwait,29.31166,47.481766,6.021,1.5,1.319,0.808,0.493,0.142,0.097
52,Asia & Pacific,Thailand,15.870032,100.992541,6.008,1.05,1.409,0.828,0.557,0.359,0.028
53,Europe,Latvia,56.879635,24.603189,5.94,1.187,1.465,0.812,0.264,0.075,0.064
54,Asia & Pacific,South Korea,35.907757,127.766922,5.895,1.301,1.219,1.036,0.159,0.175,0.056
55,Europe,Estonia,58.595272,25.013607,5.893,1.237,1.528,0.874,0.495,0.103,0.161
56,South/Latin America,Jamaica,18.109581,-77.297508,5.89,0.831,1.478,0.831,0.49,0.107,0.028
57,Africa,Mauritius,-20.348404,57.552152,5.888,1.12,1.402,0.798,0.498,0.215,0.06
58,Asia & Pacific,Japan,36.204824,138.252924,5.886,1.327,1.419,1.088,0.445,0.069,0.14
59,South/Latin America,Honduras,15.199999,-86.241905,5.86,0.642,1.236,0.828,0.507,0.246,0.078
60,Asia & Pacific,Kazakhstan,48.019573,66.923684,5.809,1.173,1.508,0.729,0.41,0.146,0.096
61,South/Latin America,Bolivia,-16.290154,-63.588653,5.779,0.776,1.209,0.706,0.511,0.137,0.064
62,Europe,Hungary,47.162494,19.503304,5.758,1.201,1.41,0.828,0.199,0.081,0.02
63,South/Latin America,Paraguay,-23.442503,-58.443832,5.743,0.855,1.475,0.777,0.514,0.184,0.08
64,Europe,Northern Cyprus,35.248,33.6577,5.718,1.263,1.252,1.042,0.417,0.191,0.162
65,South/Latin America,Peru,-9.189967,-75.015152,5.697,0.96,1.274,0.854,0.455,0.083,0.027
66,Europe,Portugal,39.399872,-8.224454,5.693,1.221,1.431,0.999,0.508,0.047,0.025
67,Asia & Pacific,Pakistan,30.375321,69.345116,5.653,0.677,0.886,0.535,0.313,0.22,0.098
68,Europe,Russia,61.52401,105.318756,5.648,1.183,1.452,0.726,0.334,0.082,0.031
69,Asia & Pacific,Philippines,12.879721,121.774017,5.631,0.807,1.293,0.657,0.558,0.117,0.107
70,Europe,Serbia,44.016521,21.005859,5.603,1.004,1.383,0.854,0.282,0.137,0.039
71,Europe,Moldova,47.411631,28.369885,5.529,0.685,1.328,0.739,0.245,0.181,0
72,Middle East,Libya,26.3351,17.228331,5.525,1.044,1.303,0.673,0.416,0.133,0.152
73,Europe,Montenegro,42.708678,19.37439,5.523,1.051,1.361,0.871,0.197,0.142,0.08
74,Asia & Pacific,Tajikistan,38.861034,71.276093,5.467,0.493,1.098,0.718,0.389,0.23,0.144
75,Europe,Croatia,45.1,15.2,5.432,1.155,1.266,0.914,0.296,0.119,0.022
76,Asia & Pacific,Hong Kong,22.396428,114.109497,5.43,1.438,1.277,1.122,0.44,0.258,0.287
77,South/Latin America,Dominican Rep.,18.735693,-70.162651,5.425,1.015,1.401,0.779,0.497,0.113,0.101
78,Europe,Bosnia and Herzegovina,43.9159,17.6791,5.386,0.945,1.212,0.845,0.212,0.263,0.006
79,Europe,Turkey,38.963745,35.243322,5.373,1.183,1.36,0.808,0.195,0.083,0.106
80,Asia & Pacific,Malaysia,4.210484,101.975766,5.339,1.221,1.171,0.828,0.508,0.26,0.024
81,Europe,Belarus,53.709807,27.953389,5.323,1.067,1.465,0.789,0.235,0.094,0.142
82,Europe,Greece,39.074208,21.824312,5.287,1.181,1.156,0.999,0.067,0,0.034
83,Asia & Pacific,Mongolia,46.862496,103.846656,5.285,0.948,1.531,0.667,0.317,0.235,0.038
